#timestamp,ETH_price
1483106400,8.187000e+00
1483110000,8.133000e+00
1483113600,8.126000e+00
1483117200,8.180000e+00
1483120800,8.174000e+00
1483124400,8.203000e+00
1483128000,8.220000e+00
1483131600,8.244000e+00
1483135200,8.226000e+00
1483138800,8.112000e+00
1483142400,8.224000e+00
1483146000,8.253000e+00
1483149600,8.081000e+00
1483153200,8.102000e+00
1483156800,8.050000e+00
1483160400,8.017000e+00
1483164000,7.905000e+00
1483167600,7.981000e+00
1483171200,8.045000e+00
1483174800,7.851000e+00
1483178400,7.971000e+00
1483182000,7.982000e+00
1483185600,7.947000e+00
1483189200,8.029000e+00
1483192800,8.107000e+00
1483196400,8.118000e+00
1483200000,8.068000e+00
1483203600,7.996000e+00
1483207200,7.984000e+00
1483210800,8.033000e+00
1483214400,7.898000e+00
1483218000,8.050000e+00
1483221600,8.085000e+00
1483225200,8.099000e+00
1483228800,8.219000e+00
1483232400,8.253000e+00
1483236000,8.206000e+00
1483239600,8.385000e+00
1483243200,8.419000e+00
1483246800,8.456000e+00
1483250400,8.265000e+00
1483254000,8.332000e+00
1483257600,8.354000e+00
1483261200,8.325000e+00
1483264800,8.172000e+00
1483268400,8.177000e+00
1483272000,8.206000e+00
1483275600,8.188000e+00
1483279200,8.327000e+00
1483282800,8.255000e+00
1483286400,8.409000e+00
1483290000,8.261000e+00
1483293600,8.308000e+00
1483297200,8.327000e+00
1483300800,8.203000e+00
1483304400,8.100000e+00
1483308000,8.154000e+00
1483311600,8.143000e+00
1483315200,8.170000e+00
1483318800,8.112000e+00
1483322400,8.220000e+00
1483326000,8.066000e+00
1483329600,8.127000e+00
1483333200,8.175000e+00
1483336800,8.146000e+00
1483340400,8.143000e+00
1483344000,8.168000e+00
1483347600,8.195000e+00
1483351200,8.109000e+00
1483354800,8.122000e+00
1483358400,8.088000e+00
1483362000,8.112000e+00
1483365600,8.174000e+00
1483369200,8.179000e+00
1483372800,8.273000e+00
1483376400,8.380000e+00
1483380000,8.345000e+00
1483383600,8.276000e+00
1483387200,8.262000e+00
1483390800,8.342000e+00
1483394400,8.365000e+00
1483398000,8.375000e+00
1483401600,8.321000e+00
1483405200,8.268000e+00
1483408800,8.308000e+00
1483412400,8.306000e+00
1483416000,8.351000e+00
1483419600,8.344000e+00
1483423200,8.341000e+00
1483426800,8.311000e+00
1483430400,8.470000e+00
1483434000,8.439000e+00
1483437600,8.499000e+00
1483441200,8.508000e+00
1483444800,8.387000e+00
1483448400,8.456000e+00
1483452000,8.553000e+00
1483455600,9.127000e+00
1483459200,9.268000e+00
1483462800,9.472000e+00
1483466400,9.545000e+00
1483470000,9.770000e+00
1483473600,9.704000e+00
1483477200,9.513000e+00
1483480800,9.721000e+00
1483484400,9.670000e+00
1483488000,9.511000e+00
1483491600,9.677000e+00
1483495200,9.714000e+00
1483498800,1.019000e+01
1483502400,1.042000e+01
1483506000,1.034000e+01
1483509600,1.039000e+01
1483513200,1.044000e+01
1483516800,1.027000e+01
1483520400,1.052000e+01
1483524000,1.048000e+01
1483527600,1.066000e+01
1483531200,1.069000e+01
1483534800,1.076000e+01
1483538400,1.031000e+01
1483542000,1.069000e+01
1483545600,1.074000e+01
1483549200,1.069000e+01
1483552800,1.078000e+01
1483556400,1.072000e+01
1483560000,1.075000e+01
1483563600,1.072000e+01
1483567200,1.080000e+01
1483570800,1.095000e+01
1483574400,1.126000e+01
1483578000,1.118000e+01
1483581600,1.131000e+01
1483585200,1.143000e+01
1483588800,1.125000e+01
1483592400,1.160000e+01
1483596000,1.154000e+01
1483599600,1.155000e+01
1483603200,1.116000e+01
1483606800,1.056000e+01
1483610400,1.073000e+01
1483614000,1.034000e+01
1483617600,1.031000e+01
1483621200,9.468000e+00
1483624800,9.600000e+00
1483628400,9.935000e+00
1483632000,1.004000e+01
1483635600,9.818000e+00
1483639200,1.014000e+01
1483642800,9.815000e+00
1483646400,1.012000e+01
1483650000,1.004000e+01
1483653600,1.025000e+01
1483657200,1.023000e+01
1483660800,1.022000e+01
1483664400,1.044000e+01
